,ACN_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
422.01501,7802.5901,
422.04348,7838.0584,
422.07195,7861.695,
422.10042,7863.9377,
422.12889,7884.5069,
422.15736,7919.3594,
422.18583,7919.2363,
422.21430,7949.223,
422.24277,7986.6001,
422.27124,8046.1263,
422.29971,8053.8001,
422.32818,8122.0119,
422.35665,8097.0777,
422.38512,8188.5522,
422.41359,8287.2153,
422.44206,8345.3648,
422.47053,8372.8781,
422.49900,8497.9777,
422.52747,8631.4216,
422.55594,8721.8695,
422.58441,8817.3902,
422.61288,8936.0957,
422.64135,9060.2183,
422.66982,9270.0536,
422.69829,9438.5807,
422.72676,9580.9749,
422.75523,9781.3466,
422.78370,9920.6504,
422.81217,10070.222,
422.84064,10190.682,
422.86911,10213.614,
422.89759,10314.394,
422.92606,10231.117,
422.95453,10148.338,
422.98300,10065.16,
423.01147,9934.3998,
423.03994,9768.4345,
423.06841,9571.9063,
423.09688,9449.3818,
423.12535,9318.0709,
423.15382,9142.2033,
423.18229,9028.5795,
423.21076,8886.609,
423.23923,8784.5231,
423.26770,8689.9915,
423.29617,8613.3683,
423.32464,8527.1262,
423.35311,8490.5823,
423.38158,8424.3904,
423.41005,8366.7794,
423.43852,8287.0094,
423.46699,8236.6055,
423.49546,8193.4083,
423.52393,8139.5392,
423.55240,8102.263,
423.58087,8085.3384,
423.60934,8048.2025,
423.63781,8007.0587,
423.66628,7956.7385,
423.69475,7924.6401,
423.72322,7863.4214,
423.75169,7852.3021,
423.78016,7823.208,
423.80863,7800.5799,
423.83710,7780.2143,
423.86557,7741.6265,
423.89404,7748.1558,
423.92251,7724.4326,
423.95098,7716.2178,
423.97945,7661.1344,
424.00792,7638.4347,
424.03639,7633.1495,
424.06486,7619.7518,
424.09333,7618.4072,
424.12180,7557.4661,
424.15027,7568.0048,
424.17874,7586.3236,
424.20721,7551.5812,
424.23568,7526.9195,
424.26415,7509.5615,
424.29262,7478.1903,
424.32109,7488.0834,
424.34956,7482.9701,
424.37803,7481.6668,
424.40650,7459.7107,
424.43497,7456.3014,
424.46344,7400.6374,
424.49191,7377.2855,
424.52038,7408.1158,
424.54885,7389.6374,
424.57732,7345.296,
424.60579,7360.6473,
424.63426,7362.8381,
424.66273,7331.6757,
424.69120,7323.5975,
424.71967,7313.5318,
424.74814,7287.3288,
424.77661,7296.0022,
424.80508,7284.3902,
424.83355,7236.3484,
424.86202,7271.9527,
424.89049,7256.5308,
424.91896,7267.6501,
424.94743,7227.8256,
424.97590,7242.0964,
425.00437,7264.0393,
425.03284,7217.2488,
425.06131,7207.3809,
425.08978,7233.9609,
425.11825,7218.493,
425.14672,7212.1971,
425.17519,7226.4735,
425.20366,7226.7603,
425.23213,7222.6892,
425.26060,7237.7407,
425.28907,7216.4623,
425.31754,7225.9652,
425.34601,7225.8475,
425.37448,7219.6583,
425.40295,7243.7267,
425.43142,7238.8431,
425.45989,7251.1439,
425.48836,7234.2101,
425.51683,7202.1088,
425.54530,7192.3363,
425.57377,7218.5901,
425.60224,7230.0023,
425.63071,7214.9912,
425.65918,7234.0651,
425.68765,7236.9554,
425.71612,7266.8922,
425.74459,7259.1205,
425.77306,7256.4345,
425.80153,7259.6492,
425.83000,7261.031,
425.85847,7289.8241,
425.88694,7278.5081,
425.91541,7256.7688,
425.94388,7297.1363,
425.97235,7294.6848,
426.00082,7296.3778,
426.02929,7305.4481,
426.05776,7318.7581,
426.08623,7333.7123,
426.11470,7328.2578,
426.14317,7332.3767,
426.17164,7385.0215,
426.20012,7377.193,
426.22859,7391.0838,
426.25706,7424.6362,
426.28553,7471.6221,
426.31400,7459.2174,
426.34247,7448.715,
426.37094,7498.5138,
426.39941,7505.7552,
426.42788,7519.7987,
426.45635,7562.5657,
426.48482,7551.9533,
426.51329,7566.4113,
426.54176,7615.4014,
426.57023,7662.4542,
426.59870,7676.9627,
426.62717,7678,
426.65564,7748.2182,
426.68411,7765.998,
426.71258,7815.2415,
426.74105,7794.1545,
426.76952,7851.9498,
426.79799,7904.5517,
426.82646,7934.7176,
426.85493,7974.1487,
426.88340,7994.8435,
426.91187,8039.2461,
426.94034,8074.4593,
426.96881,8142.2908,
426.99728,8189.0063,
427.02575,8235.8842,
427.05422,8295.4466,
427.08269,8396.9722,
427.11116,8420.6113,
427.13963,8485.7818,
427.16810,8552.2799,
427.19657,8618.0022,
427.22504,8686.754,
427.25351,8729.5947,
427.28198,8835.7559,
427.31045,8911.161,
427.33892,8965.6957,
427.36739,9037.3664,
427.39586,9118.6612,
427.42433,9189.9414,
427.45280,9347.7437,
427.48127,9406.5513,
427.50974,9499.7333,
427.53821,9608.2188,
427.56668,9770.4737,
427.59515,9829.8773,
427.62362,9948.7487,
427.65209,10039.867,
427.68056,10151.487,
427.70903,10290.501,
427.73750,10457.718,
427.76597,10503.193,
427.79444,10698.356,
427.82291,10741.849,
427.85138,10954.491,
427.87985,11081.499,
427.90832,11278.466,
427.93679,11340.261,
427.96526,11516.642,
427.99373,11811.049,
428.02220,11931.166,
428.05067,12160.433,
428.07914,12391.866,
428.10761,12574.069,
428.13608,12805.647,
428.16455,13057.987,
428.19302,13312.702,
428.22149,13637.447,
428.24996,13928.099,
428.27843,14143.264,
428.30690,14532.644,
428.33537,14773.573,
428.36384,14980.383,
428.39231,15478.191,
428.42078,15825.737,
428.44925,16229.981,
428.47772,16886.704,
428.50619,17444.325,
428.53466,18126.628,
428.56313,18966.739,
