,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
422.07195,8500.9433,
422.10042,8561.0109,
422.12889,8525.8504,
422.15736,8567.4792,
422.18583,8538.7572,
422.21430,8546.9902,
422.24277,8573.4948,
422.27124,8600.4421,
422.29971,8659.7032,
422.32818,8720.5885,
422.35665,8830.2157,
422.38512,8909.3557,
422.41359,8996.2975,
422.44206,9208.2057,
422.47053,9376.1874,
422.49900,9576.0736,
422.52747,9719.2819,
422.55594,9808.1583,
422.58441,9762.1374,
422.61288,9713.9162,
422.64135,9619.4584,
422.66982,9499.1822,
422.69829,9454.0163,
422.72676,9366.1608,
422.75523,9293.7887,
422.78370,9300.0347,
422.81217,9280.3497,
422.84064,9224.6964,
422.86911,9243.6745,
422.89759,9211.6455,
422.92606,9157.2484,
422.95453,9097.4944,
422.98300,9058.8882,
423.01147,9011.8419,
423.03994,8982.9768,
423.06841,8900.0129,
423.09688,8928.4518,
423.12535,8932.9569,
423.15382,8877.7103,
423.18229,8879.6051,
423.21076,8887.2859,
423.23923,8874.3461,
423.26770,8854.8962,
423.29617,8846.2406,
423.32464,8893.6608,
423.35311,8977.834,
423.38158,8969.824,
423.41005,9010.7437,
423.43852,9037.0978,
423.46699,9089.8562,
423.49546,9191.2489,
423.52393,9234.3655,
423.55240,9363.6253,
423.58087,9496.8946,
423.60934,9619.1679,
423.63781,9723.495,
423.66628,9736.0093,
423.69475,9730,
423.72322,9678.2567,
423.75169,9624.5066,
423.78016,9548.3441,
423.80863,9505.1598,
423.83710,9363.7143,
423.86557,9257.1967,
423.89404,9197.7734,
423.92251,9108.2431,
423.95098,9093.2718,
423.97945,9086.5336,
424.00792,9033.9754,
424.03639,8997.2439,
424.06486,9013.9125,
424.09333,9014.7784,
424.12180,8977.3736,
424.15027,8993.1902,
424.17874,9024.9109,
424.20721,8991.8325,
424.23568,9032.6037,
424.26415,9066.0316,
424.29262,9078.058,
424.32109,9059.5782,
424.34956,9088.7425,
424.37803,9107,
424.40650,9126.6307,
424.43497,9164.9043,
424.46344,9220.1261,
424.49191,9248.9478,
424.52038,9230.5137,
424.54885,9282.4044,
424.57732,9345.3424,
424.60579,9400.5297,
424.63426,9511.1589,
424.66273,9663.1863,
424.69120,9828.9975,
424.71967,10027.431,
424.74814,10309.515,
424.77661,10713.861,
424.80508,11055.63,
424.83355,11391.581,
424.86202,11592.233,
424.89049,11698.05,
424.91896,11661.739,
424.94743,11484.774,
424.97590,11216.236,
425.00437,10912.359,
425.03284,10665.479,
425.06131,10461.572,
425.08978,10278.581,
425.11825,10049.915,
425.14672,9954.4572,
425.17519,9886.1951,
425.20366,9808.7725,
425.23213,9772.2369,
425.26060,9772.2145,
425.28907,9723.4886,
425.31754,9724.9071,
425.34601,9730.1357,
425.37448,9644.0266,
425.40295,9590.1367,
425.43142,9618.3139,
425.45989,9636,
425.48836,9635.3383,
425.51683,9686.0231,
425.54530,9692.09,
425.57377,9671.364,
425.60224,9704.6217,
425.63071,9693.314,
425.65918,9685.3517,
425.68765,9732.5268,
425.71612,9802.3122,
425.74459,9783.6376,
425.77306,9825.6719,
425.80153,9931.6468,
425.83000,9965.969,
425.85847,9998.9319,
425.88694,9964.6555,
425.91541,10054.907,
425.94388,10088.851,
425.97235,10108.801,
426.00082,10133.69,
426.02929,10161.758,
426.05776,10185.141,
426.08623,10171.575,
426.11470,10113.593,
426.14317,10117.13,
426.17164,10143.407,
426.20012,10134.543,
426.22859,10155.494,
426.25706,10180.44,
426.28553,10194.518,
426.31400,10215.097,
426.34247,10215.565,
426.37094,10263.949,
426.39941,10310.65,
426.42788,10344.137,
426.45635,10443.729,
426.48482,10482.372,
426.51329,10487.658,
426.54176,10447.864,
426.57023,10525.937,
426.59870,10490.117,
426.62717,10438.479,
426.65564,10455.892,
426.68411,10448.495,
426.71258,10485.952,
426.74105,10506.812,
426.76952,10482.389,
426.79799,10501.497,
426.82646,10558.341,
426.85493,10578.396,
426.88340,10610.207,
426.91187,10665.694,
426.94034,10701.677,
426.96881,10750.432,
426.99728,10733.573,
427.02575,10825.194,
427.05422,10846.215,
427.08269,10870.65,
427.11116,10963.203,
427.13963,10958.897,
427.16810,11021.373,
427.19657,11117.185,
427.22504,11185.996,
427.25351,11312.764,
427.28198,11769.276,
427.31045,11739.156,
427.33892,11761.376,
427.36739,11915.32,
427.39586,12175.62,
427.42433,12439.952,
427.45280,12751.154,
427.48127,13068.092,
427.50974,13382.018,
427.53821,13655.369,
427.56668,13906,
427.59515,14261.155,
427.62362,14557.269,
427.65209,14828.54,
427.68056,15145.581,
427.70903,15200.607,
427.73750,15149.335,
427.76597,14799.068,
427.79444,14526.785,
427.82291,14145.847,
427.85138,13690.429,
427.87985,13423.821,
427.90832,13207.223,
427.93679,13118.186,
427.96526,13089.194,
427.99373,13183.03,
428.02220,13258.467,
428.05067,13504.895,
428.07914,13598.036,
428.10761,13925.611,
428.13608,14316.037,
428.16455,14912.6,
428.19302,15420.03,
428.22149,16360.666,
428.24996,17399.132,
428.27843,18771.809,
428.30690,20144.431,
428.33537,21533.309,
428.36384,22501.388,
428.39231,23055.699,
428.42078,23074.757,
428.44925,22772.289,
